"Id";"Oznaczenie";"Obudowa";"Ilość";"Oznaczenie";"Dostawca i numer artykułu";
1;"J4,J1";"easy_plug_short_x2";2;"Conn_01x02";;;
2;"J3";"easy_plug_short_x3";1;"Conn_01x03";;;
3;"J2";"PinHeader_1x04_P2.54mm_Vertical";1;"Conn_01x04";;;
4;"G1";"emka_logo_male";1;"eMKa_elektronika_LOGO";;;
5;"H2,H1";"MountingHole_3.2mm_M3";2;"MountingHole";;;
6;"SW3,SW2,SW1";"SW_SPST_PTS645";3;"SW_Push";;;
7;"R2,R1";"R_0402_1005Metric";2;"4K7";;;
8;"U2";"SOT-223-3_TabPin2";1;"AMS1117-3.3";;;
9;"C12,C8";"C_0805_2012Metric";2;"1u";;;
10;"C11";"CP_EIA-3528-21_Kemet-B";1;"22u";;;
11;"Y2";"Crystal_SMD_3215-2Pin_3.2x1.5mm";1;"32K768";;;
12;"Y1";"Crystal_SMD_5032-2Pin_5.0x3.2mm";1;"8M";;;
13;"U1";"LQFP-48_7x7mm_P0.5mm";1;"STM32F103C8Tx";;;
14;"JP1";"SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm";1;"Jumper";;;
15;"C10,C9";"C_0402_1005Metric";2;"12p";;;
16;"C7";"C_0402_1005Metric";1;"10n";;;
17;"C6,C5";"C_0402_1005Metric";2;"20p";;;
18;"C4,C3,C2";"C_0402_1005Metric";3;"100n";;;
19;"C1";"C_1206_3216Metric";1;"4,7u";;;
